2026/09/21 22:11:17 INF MediaMTX v1.17.1, windows, amd64
2026/09/21 22:11:17 INF configuration loaded from C:\Omsystems\scratch\mediamtx-live-hotfix.yml
2026/09/21 22:11:17 INF [HLS] listener opened on 127.0.0.1:8888
2026/09/21 22:11:17 INF [WebRTC] listener opened on 127.0.0.1:8889 (HTTP), :8189 (ICE/UDP)
2026/09/21 22:11:17 INF [API] listener opened on 127.0.0.1:9997
2026/09/21 22:39:57 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:39:57 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:39:57 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:39:57 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:18 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:19 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:19 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:19 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:20 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:20 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:23 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:23 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:32 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:32 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:32 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:32 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:36 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:36 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:39 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:39 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:47 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:47 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:49 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:49 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:49 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:49 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:50 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:51 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:51 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:51 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:53 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:53 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:40:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:01 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:01 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:01 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:01 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:03 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:03 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:03 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:03 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:06 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:06 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:06 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:06 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:08 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:08 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:09 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:09 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:10 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:10 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:11 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:11 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:14 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:14 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:19 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:20 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:20 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:20 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:21 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:21 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:23 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:23 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:23 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:23 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:25 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:25 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:27 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:27 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:33 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:37 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:37 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:39 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:39 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:40 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:40 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:40 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:40 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:44 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:44 ERR [API] json: unknown field "maxReorderedFrames"
